SL_AA,MOD_AA,EXT_AA,COL_AA,Damage_AA
0.0438,0.0063,0.0048,0,0.0549
0.0072,0.0003,0.0008,0,0.0083
0.1632,0.0354,0.01,0.009,0.2176
0.0826,0.0483,0.0032,0.0135,0.1476
0.041,0.0012,0.0024,0,0.0446
0.0254,0.0009,0.0016,0,0.0279
0.0472,0.0069,0.0012,0.0005,0.0558
0.0086,0.0018,0,0.0005,0.0109
0.019,0.0021,0,0.002,0.0231
0.0068,0.003,0.0016,0.001,0.0124
0.025,0.0006,0.0048,0.0045,0.0349
0.017,0.0018,0,0.0005,0.0193
0.0516,0.0012,0.0052,0.0025,0.0605
0.0266,0.006,0.0008,0,0.0334
0.0404,0.0159,0.0024,0.001,0.0597
0.048,0.0201,0.0064,0.0025,0.077
0.0358,0.0051,0.0048,0.004,0.0497
0.0724,0.0066,0.0036,0.001,0.0836
0.014,0.0012,0.0012,0.0005,0.0169
0.0202,0.0015,0.004,0.002,0.0277
0.0076,0.0012,0,0.0005,0.0093
0.0312,0.012,0.0028,0.0065,0.0525
0.015,0,0.0008,0,0.0158
0.0202,0.0102,0.002,0.0045,0.0369
0.1546,0.0282,0.0056,0.0055,0.1939
0.1304,0.0012,0.0016,0.0045,0.1377
0.1554,0.0096,0.0036,0.0005,0.1691
0.0274,0.0006,0.0004,0.0005,0.0289
0.032,0.0009,0,0.0015,0.0344
0.031,0.0006,0,0,0.0316
0.0198,0.0012,0.0004,0,0.0214
0.0314,0.0018,0.0016,0.0005,0.0353
0.0044,0.0069,0.0012,0,0.0125
0.0232,0,0,0.002,0.0252
0.1032,0.0063,0.0076,0.0145,0.1316
0.0256,0.006,0.0052,0.0005,0.0373
0.0172,0.0027,0.0024,0.0005,0.0228
0.01,0,0,0,0.01
0.0484,0.0027,0.0052,0.001,0.0573
0.027,0.0006,0.004,0,0.0316
0.0192,0.0045,0.0036,0.005,0.0323
0.157,0.0255,0.0072,0.0025,0.1922
0.0306,0.021,0.0048,0.007,0.0634
0.1166,0.0144,0.0028,0.011,0.1448
0.1622,0.0288,0.0484,0.0115,0.2509
0.05,0.0294,0.0148,0.0045,0.0987
0.0792,0.0018,0.006,0.0015,0.0885
0.0154,0.0096,0.0008,0,0.0258
0.0264,0.0057,0,0.008,0.0401
0.0774,0.0042,0.0012,0.001,0.0838
0.0338,0.006,0.0004,0.005,0.0452
0.0328,0.0024,0.0016,0.0005,0.0373
0.0418,0.0048,0.002,0.0025,0.0511
0.0386,0.0066,0.0024,0.001,0.0486
0.0318,0.003,0.0008,0.004,0.0396
0.0604,0.0015,0,0.004,0.0659
